Age,Industry,Job Title,Annual Salary,Monetary Compensation,Currency,Country of Employment,State (USA),Overall Number of Years of Experience,Number of Years of Experience in Your Field,Highest Level of Education,Gender,Ethnicity
35-44,Education (Higher Education),Assistant Professor of Law,145000.0,15000.0,USD,USA,New York,2 - 4 years,2 - 4 years,PhD,Female,White
25-34,"Accounting, Banking & Finance",investment advisor,95000.0,10000.0,CAD,Canada,Outside of the US,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,"Marketing, Advertising & PR",Content Writer,48000.0,2000.0,USD,USA,Missouri,5-7 years,5-7 years,Master's degree,Female,White
45-54,"Accounting, Banking & Finance",Assistant Director of Finance,75000.0,10000.0,USD,USA,Illinois,21 - 30 years,21 - 30 years,College degree,Female,White
35-44,Media & Digital,Digital Marketing Specialist,42000.0,0.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Nonprofits,Archivist,54000.0,100.0,USD,USA,Iowa,21 - 30 years,8 - 10 years,Master's degree,Female,White
45-54,Government and Public Administration,Head of Public Sector Data Sharing ,50870.0,0.0,GBP,England,Outside of the US,21 - 30 years,11 - 20 years,Master's degree,Female,White
55-64,Medical Devices,QC Supervisor,60000.0,500.0,USD,USA,California,31 - 40 years,31 - 40 years,College degree,Female,Middle Eastern or Northern African
55-64,Nonprofits,Content Development Manager,101500.0,0.0,USD,USA,District of Columbia,31 - 40 years,21 - 30 years,College degree,Female,White
25-34,Academic research (Psychology),Clinical Research Assistant II,36883.0,150.0,USD,USA,Massachusetts,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Media & Digital,news editor,85000.0,0.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Education (Higher Education),Senior Administrative Assistant ,62000.0,0.0,USD,USA,Massachusetts,5-7 years,5-7 years,College degree,Female,White
25-34,Business or Consulting,"Associate Manager, Education",71000.0,3000.0,USD,USA,New York,5-7 years,5-7 years,College degree,Female,White
25-34,public library,Senior Librarian,63000.0,0.0,USD,USA,Virginia,5-7 years,5-7 years,Master's degree,Female,White
35-44,Engineering or Manufacturing,Project Estimator,95000.0,5000.0,USD,USA,Michigan,21 - 30 years,21 - 30 years,College degree,Female,White
35-44,Surveying ,Accounts manager ,85000.0,0.0,AUD/NZD,Australia,Outside of the US,11 - 20 years,8 - 10 years,Master's degree,Male,White
35-44,Nonprofits,Customer Advocate,35000.0,3000.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,Some college,Female,White
18-24,Hospitality & Events,Customer Service Specialist,33280.0,500.0,USD,USA,Florida,5-7 years,2 - 4 years,College degree,Non-binary,White
35-44,"Accounting, Banking & Finance",Accounts Payable Manager,56000.0,2500.0,USD,USA,Tennessee,11 - 20 years,8 - 10 years,Some college,Female,White
35-44,Education (Higher Education),Editor,62000.0,0.0,USD,USA,Texas,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Nonprofits,Program Associate,63000.0,1000.0,USD,USA,District of Columbia,5-7 years,2 - 4 years,College degree,Female,White
25-34,Recruitment or HR,Senior People Advisor,45000.0,10000.0,GBP,England,Outside of the US,11 - 20 years,8 - 10 years,College degree,Female,White
25-34,Education (Higher Education),English as a Second Language Teacher,18000.0,0.0,EUR,Spain,Outside of the US,8 - 10 years,5-7 years,College degree,Female,White
18-24,PhD,PhD Candidate,19000.0,0.0,GBP,England,Outside of the US,2 - 4 years,1 year or less,Master's degree,Male,White
55-64,Biopharma,RIM Manager,114000.0,30000.0,USD,USA,Massachusetts,21 - 30 years,8 - 10 years,College degree,Male,White
45-54,Insurance,Senior Client Service Representative,73000.0,0.0,USD,USA,Colorado,31 - 40 years,31 - 40 years,High School,Female,White
35-44,Nonprofits,Funding Manager,54000.0,0.0,GBP,England,Outside of the US,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,Health care,Clinical analyst,100000.0,0.0,USD,USA,Georgia,21 - 30 years,11 - 20 years,Master's degree,Female,White
18-24,Government and Public Administration,Policy Analyst ,60129.0,3000.0,USD,USA,District of Columbia,2 - 4 years,1 year or less,Master's degree,Female,White
45-54,STEM research,Research Scientist,135000.0,0.0,USD,USA,Texas,11 - 20 years,11 - 20 years,PhD,Female,White
25-34,"Accounting, Banking & Finance",Senior Accountant,60000.0,0.0,USD,USA,Ohio,5-7 years,5-7 years,Master's degree,Female,White
35-44,Nonprofits,Administrative Assistant,37000.0,0.0,USD,USA,Ohio,11 - 20 years,5-7 years,College degree,Female,White
25-34,Engineering or Manufacturing,User experience specialist,85000.0,3000.0,USD,USA,South Carolina,5-7 years,5-7 years,College degree,Female,White
35-44,Media & Digital,Self-employed writer,45000.0,20000.0,USD,USA,Texas,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Nonprofits,Director of Development,92000.0,0.0,USD,USA,Massachusetts,8 - 10 years,5-7 years,Master's degree,Female,White
25-34,Engineering or Manufacturing,Production Technician,65000.0,4000.0,USD,USA,Wisconsin,5-7 years,2 - 4 years,College degree,Male,White
35-44,"Marketing, Advertising & PR",Graphic Designer,35000.0,0.0,USD,USA,Indiana,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Compliance Officer,74000.0,1000.0,USD,USA,Oklahoma,8 - 10 years,5-7 years,College degree,Female,White
25-34,Engineering or Manufacturing,Director of Intelligence,102500.0,20000.0,USD,USA,Florida,5-7 years,5-7 years,College degree,Male,"Hispanic, Latino, or Spanish origin"
45-54,Computing or Tech,Software Development Manager,140000.0,5000.0,USD,USA,Colorado,21 - 30 years,11 - 20 years,Some college,Female,White
35-44,Architecture,Project Architect,58000.0,4000.0,USD,USA,New Jersey,11 - 20 years,8 - 10 years,Master's degree,Female,White
35-44,"Marketing, Advertising & PR",Brand Consultant,400000.0,0.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Nonprofits,HR director,61200.0,0.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,"Marketing, Advertising & PR",Marketing Director ,85000.0,10000.0,GBP,England,Outside of the US,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Recruitment or HR,Talent Acquisition Specialist,66000.0,0.0,USD,USA,Georgia,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Computing or Tech,technical support specialist,70000.0,0.0,USD,USA,Texas,8 - 10 years,5-7 years,College degree,Female,Black or African American
45-54,Property or Construction,CAD Manager,75500.0,5000.0,USD,USA,Florida,21 - 30 years,11 - 20 years,Some college,Female,White
25-34,"Marketing, Advertising & PR",Content Strategist and Writer,57000.0,0.0,USD,USA,Virginia,8 - 10 years,2 - 4 years,Master's degree,Female,White
25-34,Health care,Midwife,31000.0,1000.0,GBP,England,Outside of the US,2 - 4 years,1 year or less,Master's degree,Female,White
35-44,"Marketing, Advertising & PR",Associate Creative Director,215000.0,10000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,Another option not listed here or prefer not to answer
25-34,Academic Medicine ,Administrative Specialist,55000.0,2500.0,USD,USA,Illinois,8 - 10 years,5-7 years,College degree,Male,White
45-54,Law,Senior Corporate Counsel,220000.0,0.0,USD,USA,California,11 - 20 years,11 - 20 years,PhD,Female,Asian or Asian American
25-34,Media & Digital,UX designer,36000.0,0.0,EUR,France,Outside of the US,2 - 4 years,2 - 4 years,Master's degree,Female,White
25-34,Engineering or Manufacturing,Product Engineer,57000.0,0.0,USD,USA,Washington,5-7 years,5-7 years,College degree,Female,White
35-44,Computing or Tech,Senior Technical Writer,83000.0,8000.0,USD,USA,California,8 - 10 years,5-7 years,College degree,Female,White
35-44,Nonprofits,Senior Director,90000.0,0.0,USD,USA,District of Columbia,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Hospitality & Events,Hotel Sales Manager,66950.0,0.0,USD,USA,Indiana,8 - 10 years,5-7 years,College degree,Female,White
25-34,Government and Public Administration,Planner,76000.0,0.0,USD,USA,California,2 - 4 years,2 - 4 years,College degree,Female,Asian or Asian American
25-34,Engineering or Manufacturing,Principal Engineer,52000.0,6000.0,GBP,England,Outside of the US,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Nonprofits,Information and Program Manager,70000.0,5000.0,USD,USA,Pennsylvania,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,Engineering or Manufacturing,Media and PR,80000.0,0.0,USD,USA,Nebraska,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Nonprofits,Technical assistance provider,70000.0,0.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Computing or Tech,Strategic Operations and Programme Manager,90000.0,0.0,GBP,England,Outside of the US,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Education (Higher Education),"Assistant Director, Student Affairs",50000.0,0.0,USD,USA,New York,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Hospitality & Events,Director of Client Services,85000.0,0.0,USD,USA,New York,11 - 20 years,5-7 years,College degree,Female,White
35-44,Retail,Loss prevention manager,87000.0,15000.0,USD,USA,California,8 - 10 years,2 - 4 years,High School,Female,White
35-44,Commercial Real Estate ,Administrative Associate,55000.0,5000.0,USD,USA,Texas,11 - 20 years,5-7 years,Some college,Female,White
55-64,Law,Attorney,275000.0,0.0,USD,USA,Minnesota,31 - 40 years,31 - 40 years,Master's degree,Female,White
35-44,Engineering or Manufacturing,Software engineer,139000.0,9000.0,USD,USA,Washington,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Law,Paralegal / Legal Assistant,54080.0,500.0,USD,USA,Michigan,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,Education (Primary/Secondary),Librarian,70000.0,1000.0,USD,USA,Texas,21 - 30 years,11 - 20 years,Master's degree,Male,White
25-34,Nonprofits,Communications Associate,53000.0,0.0,USD,USA,District of Columbia,5-7 years,2 - 4 years,College degree,Female,White
18-24,Engineering or Manufacturing,Graduate Research Assitant,25700.0,0.0,USD,USA,Indiana,5-7 years,5-7 years,College degree,Female,"Hispanic, Latino, or Spanish origin"
35-44,Government and Public Administration,EOS,95000.0,2000.0,USD,USA,New York,11 - 20 years,8 - 10 years,Master's degree,Female,White
35-44,Animal Health Product Manufacturing,Sr Associate - Quality Assurance,75000.0,7500.0,USD,USA,Indiana,11 - 20 years,8 - 10 years,College degree,Female,White
25-34,Property or Construction,Assistant to Property Managers,31500.0,0.0,USD,USA,South Carolina,8 - 10 years,2 - 4 years,College degree,Female,"Asian or Asian American, White"
35-44,Health care,Principal Statistical Programmer,165000.0,30000.0,USD,USA,Massachusetts,21 - 30 years,21 - 30 years,College degree,Non-binary,White
25-34,"Accounting, Banking & Finance",Reporting Analyst ,45760.0,0.0,USD,USA,California,11 - 20 years,2 - 4 years,Some college,Female,"Hispanic, Latino, or Spanish origin"
25-34,"Marketing, Advertising & PR",Communications Manager,86000.0,0.0,USD,USA,Florida,5-7 years,5-7 years,College degree,Female,White
25-34,Engineering or Manufacturing,Project Manager,78240.0,0.0,CAD,Canada,Outside of the US,5-7 years,5-7 years,Master's degree,Female,White
25-34,Education (Higher Education),Admissions Advisor,56000.0,0.0,USD,USA,Wisconsin,8 - 10 years,5-7 years,Master's degree,Female,White
25-34,Educational Technology - hybrid between book publishing and technology really,Business Development Specialist,67000.0,2000.0,USD,USA,Minnesota,8 - 10 years,2 - 4 years,College degree,Female,White
25-34,Property or Construction,Assistant Project Manager,55000.0,0.0,USD,USA,Florida,5-7 years,2 - 4 years,College degree,Female,White
35-44,Computing or Tech,Supply chain manager,125000.0,50000.0,USD,USA,Washington,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,Utilities & Telecommunications,Land Analyst,60320.0,0.0,USD,USA,Pennsylvania,21 - 30 years,8 - 10 years,Some college,Female,White
35-44,Pharmaceuticals,Regulatory affairs manager ,125000.0,18750.0,USD,USA,North Carolina,5-7 years,2 - 4 years,PhD,Female,White
25-34,Health care,NP-PHC,98000.0,0.0,CAD,Canada,Outside of the US,8 - 10 years,2 - 4 years,Master's degree,Female,White
35-44,Government and Public Administration,Administrative Assistant,49000.0,0.0,USD,USA,Oregon,11 - 20 years,11 - 20 years,Some college,Female,White
35-44,Nonprofits,Director of Development,120000.0,0.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Education (Higher Education),Teaching Assistant,28000.0,0.0,USD,USA,New Jersey,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
35-44,Education (Higher Education),Advancement Accounting Assistant,40575.0,0.0,USD,USA,Washington,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Nonprofits,Senior monitoring & evaluation adviser ,75500.0,0.0,USD,USA,North Carolina,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,"Marketing, Advertising & PR",Copy supervisor,115000.0,12000.0,USD,USA,Pennsylvania,5-7 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Visual Designer,110000.0,1400.0,USD,USA,Illinois,5-7 years,5-7 years,College degree,Female,White
18-24,Agriculture or Forestry,Engineering Student Trainee,29000.0,0.0,USD,USA,South Dakota,1 year or less,1 year or less,Some college,Female,White
55-64,Nonprofits,Information Technology Specialist,47250.0,0.0,USD,USA,West Virginia,11 - 20 years,5-7 years,Master's degree,Female,White
35-44,Engineering or Manufacturing,Sr. Piping Designer,96000.0,4000.0,USD,USA,Minnesota,11 - 20 years,11 - 20 years,Some college,Male,White
35-44,Computing or Tech,Network Managet,260000.0,0.0,EUR,Argentina,Outside of the US,21 - 30 years,11 - 20 years,High School,Non-binary,White
25-34,Philanthropy,Senior Program Support Associate,72000.0,0.0,USD,USA,District of Columbia,2 - 4 years,2 - 4 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Senior Operations Manager,132500.0,55000.0,USD,USA,New York,8 - 10 years,8 - 10 years,College degree,Female,White
45-54,Computing or Tech,"IT Manager, Financial Systems",124000.0,0.0,USD,USA,Tennessee,21 - 30 years,21 - 30 years,Master's degree,Female,White
45-54,"Marketing, Advertising & PR",Sr Analytic Consultant,108000.0,0.0,USD,USA,Minnesota,21 - 30 years,21 - 30 years,College degree,Male,White
35-44,"Accounting, Banking & Finance",Principal Consultant ,110000.0,5000.0,USD,USA,North Carolina,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Government and Public Administration,Editor,91000.0,2000.0,USD,USA,District of Columbia,11 - 20 years,5-7 years,PhD,Female,White
35-44,Engineering or Manufacturing,QC Chemistry Manager,117000.0,17550.0,USD,USA,Minnesota,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Education (Higher Education),Research administrator ,71697.0,0.0,USD,USA,Pennsylvania,8 - 10 years,5-7 years,Master's degree,Female,White
45-54,Real Estate,Senior Property Manager,90000.0,9000.0,USD,USA,California,31 - 40 years,21 - 30 years,Some college,Female,White
25-34,Education (Higher Education),Admin Assistant,52000.0,0.0,USD,USA,New York,5-7 years,5-7 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin"
35-44,Transport or Logistics,Executive Administrator ,80000.0,5000.0,USD,USA,New York,21 - 30 years,21 - 30 years,High School,Female,White
25-34,Transport or Logistics,HR Business Partner,56000.0,0.0,USD,USA,Illinois,8 - 10 years,5-7 years,Some college,Female,White
45-54,Engineering or Manufacturing,Product Support Representative,47840.0,2000.0,USD,USA,California,21 - 30 years,21 - 30 years,College degree,Male,"Asian or Asian American, White"
45-54,Consulting,Senior Hazard Mitigation Manager,150000.0,20000.0,USD,USA,Florida,21 - 30 years,11 - 20 years,Master's degree,Female,White
45-54,Computing or Tech,Senior Manager of Customer Enablement,150000.0,0.0,USD,USA,Massachusetts,21 - 30 years,21 - 30 years,Master's degree,Female,White
45-54,Environmental Consulting,Senior Consultant,105000.0,5000.0,USD,USA,Georgia,21 - 30 years,21 - 30 years,PhD,Female,White
25-34,"Accounting, Banking & Finance",Equity Analyst,100000.0,5000.0,USD,USA,New York,2 - 4 years,2 - 4 years,College degree,Female,Asian or Asian American
35-44,Engineering or Manufacturing,Project Manager-Tech Lead,97500.0,8000.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,Master's degree,Female,Asian or Asian American
25-34,"Accounting, Banking & Finance",Operations,100000.0,50000.0,USD,USA,Texas,5-7 years,5-7 years,College degree,Male,White
45-54,Health care,Senior Project Specialist,125000.0,0.0,USD,USA,Massachusetts,21 - 30 years,8 - 10 years,College degree,Female,White
35-44,Government and Public Administration,Public Library Director,63000.0,0.0,USD,USA,Wisconsin,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Sales,Business Development Manager ,50000.0,50000.0,GBP,England,Outside of the US,8 - 10 years,5-7 years,College degree,Female,White
35-44,Archaeology / Cultural Resource Management,Principal Investigator,79000.0,1000.0,USD,USA,Colorado,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Museum,Museum Technician,52000.0,0.0,USD,USA,Maryland,5-7 years,2 - 4 years,Master's degree,Male,White
